Season;Spec;Rank;Country;Confederation;Rider1;Rank1;Score1;Rider2;Rank2;Score2;Rider3;Rank3;Score3;Score
2025;OVERALL;1;Denmark;Union Européenne de Cyclisme;Vingegaard Jonas;2;97,9273183;Pedersen Mads;6;94,9047619;Skjelmose Mattias;11;91,9924812;94,94057105
2025;OVERALL;2;Belgium;Union Européenne de Cyclisme;Evenepoel Remco;5;95,41102757;Van Aert Wout;15;90,65413534;De Lie Arnaud;20;89,39348371;91,81863068
2025;OVERALL;3;Italy;Union Européenne de Cyclisme;Ciccone Giulio;10;92,56641604;Ganna Filippo;14;91,82205514;Pellizzari Giulio;21;88,65914787;91,01496286
2025;OVERALL;4;Great Britain;Union Européenne de Cyclisme;Onley Oscar;12;91,98496241;Pidcock Thomas;13;91,89974937;Yates Simon;23;88,48621554;90,7894012
2025;OVERALL;5;United States;Confederación Panamericana de Ciclismo;Mcnulty Brandon;16;90,57142857;Simmons Quinn;25;87,90726817;Jorgenson Matteo;34;85,88220551;88,11941955
2025;OVERALL;6;Slovenia;Union Européenne de Cyclisme;Pogačar Tadej;1;99,25062657;Roglič Primož;27;86,9924812;Mohorič Matej;100;76,52882206;87,58976737
2025;OVERALL;7;Australia;Oceanian Cycling Confederation;Matthews Michael;22;88,56390977;Storer Michael;26;87,63909774;Vine Jay;30;86,56641604;87,58893195
2025;OVERALL;8;Netherlands;Union Européenne de Cyclisme;Van Der Poel Mathieu;3;96,74686717;Arensman Thymen;42;84,21052632;Kooij Olav;57;81,70676692;87,55384459
2025;OVERALL;9;France;Union Européenne de Cyclisme;Vauquelin Kévin;18;90,14536341;Alaphilippe Julian;32;86,39598997;Martinez Lenny;36;85,21553885;87,25142489
2025;OVERALL;10;Spain;Union Européenne de Cyclisme;Ayuso Juan;19;89,73433584;Mas Enric;40;84,55889724;Romo Javier;51;83,13032581;85,80699489
2025;OVERALL;11;Ecuador;Confederación Panamericana de Ciclismo;Carapaz Richard;28;86,72431078;Narváez Jhonatan;33;86,39097744;López Harold Martín;88;77,36340852;83,49206398
2025;OVERALL;12;Norway;Union Européenne de Cyclisme;Johannessen Tobias Halland;29;86,64661654;Wærenskjold Søren;53;82,21804511;Abrahamsen Jonas;71;79,28822055;82,71680023
2025;OVERALL;13;Portugal;Union Européenne de Cyclisme;Almeida João;4;95,98997494;Morgado António;98;76,69172932;Eulálio Afonso;167;72,60651629;81,76192256
2025;OVERALL;14;Germany;Union Européenne de Cyclisme;Lipowitz Florian;7;93,48621554;Schachmann Maximilian;103;76,19799499;Kanter Max;127;74,52130326;81,40102391
2025;OVERALL;15;Switzerland;Union Européenne de Cyclisme;Christen Jan;50;83,22055138;Schmid Mauro;66;80,46115288;Küng Stefan;85;78,04010025;80,5731291
2025;OVERALL;16;Ireland;Union Européenne de Cyclisme;Healy Ben;8;93,24561404;Townsend Rory;84;78,12030075;Ryan Archie;278;68,26566416;79,87639421
2025;OVERALL;17;New Zealand;Oceanian Cycling Confederation;Gate Aaron;64;80,71177945;Fisher-Black Finn;72;79,21052632;Strong Corbin;75;79,03759398;79,65250338
2025;OVERALL;18;Colombia;Confederación Panamericana de Ciclismo;Bernal Egan;44;83,96240602;Rubio Einer;87;77,69674185;Buitrago Santiago;93;76,94736842;79,53471008
2025;OVERALL;19;Austria;Union Européenne de Cyclisme;Gall Felix;17;90,56140351;Großschartner Felix;187;71,68170426;Konrad Patrick;312;67,3433584;76,52805677
2025;OVERALL;20;Eritrea;Confédération Africaine de Cyclisme;Girmay Biniam;94;76,94235589;Mulubrhan Henok;114;75,19047619;Tesfatsion Natnael;301;67,67418546;73,26827316
2025;OVERALL;21;Canada;Confederación Panamericana de Ciclismo;Gee Derek;24;88,0726817;Woods Michael;344;65,9197995;Côté Pier-André;462;62,9122807;72,30086429
2025;OVERALL;22;Poland;Union Européenne de Cyclisme;Aniołkowski Stanisław;173;72,43358396;Majka Rafał;200;71,18295739;Kwiatkowski Michał;244;69,60401003;71,07280639
2025;OVERALL;23;Czechia;Union Européenne de Cyclisme;Bittner Pavel;114;75,19047619;Vacek Mathias;143;73,52882206;Kopecký Matyáš;403;64,41102757;71,0427315
2025;OVERALL;24;Mexico;Confederación Panamericana de Ciclismo;Del Toro Isaac;9;92,98997494;Cadena Edgar David;638;59,23308271;García Carlos Alfonso;790;56,00250627;69,40782722
2025;OVERALL;25;Estonia;Union Européenne de Cyclisme;Mihkels Madis;135;73,85213033;Taaramäe Rein;378;65,1754386;Vahtra Norman;483;62,49122807;67,1722606
2025;OVERALL;26;Ukraine;Union Européenne de Cyclisme;Tsarenko Kyrylo;124;74,62406015;Ponomar Andrii;412;64,1679198;Budiak Anatolii;519;61,73934837;66,84310767
2025;OVERALL;27;Russia;Union Européenne de Cyclisme;Nych Artem;232;69,93483709;Rikunov Petr;369;65,3358396;Vlasov Aleksandr;416;64,08270677;66,45046331
2025;OVERALL;28;Kazakhstan;Asian Cycling Confederation;Fedorov Yevgeniy;240;69,67919799;Lutsenko Alexey;403;64,41102757;Vinokurov Nicolas;407;64,3283208;66,13885406
2025;OVERALL;29;Israel;Union Européenne de Cyclisme;Kogut Oded;262;68,85213033;Einhorn Itamar;399;64,5839599;Goldstein Omer;472;62,6566416;65,3635903
2025;OVERALL;30;Latvia;Union Européenne de Cyclisme;Skujiņš Toms;73;79,11528822;Neilands Krists;665;58,64661654;Liepiņš Emīls;732;57,56140351;65,10711835
2025;OVERALL;31;South Africa;Confédération Africaine de Cyclisme;Meintjes Louis;319;66,92481203;Munton Byron;462;62,9122807;Hatherly Alan;476;62,5764411;64,13720323
2025;OVERALL;32;Luxembourg;Union Européenne de Cyclisme;Geniets Kevin;401;64,4962406;Jungels Bob;510;61,90726817;Wenzel Mats;627;59,39849624;61,93338233
2025;OVERALL;33;Uruguay;Confederación Panamericana de Ciclismo;Silva Guillermo Thomas;148;73,43358396;Fagúndez Eric Antonio;239;69,68170426;Moreira Mauricio;1299;40,10025063;61,07123556
2025;OVERALL;34;Sweden;Union Européenne de Cyclisme;Söderqvist Jakob;217;70,60651629;Eriksson Lucas;606;59,64912281;Larsson David;1009;50,12531328;60,12638286
2025;OVERALL;35;Slovakia;Union Européenne de Cyclisme;Kubiš Lukáš;163;72,93483709;Schwarzbacher Matthias;784;56,33333333;Svrček Martin;1045;48,62155388;59,2959818
2025;OVERALL;36;Venezuela;Confederación Panamericana de Ciclismo;Aular Orluis;176;72,43107769;Peñuela Francisco Joel;439;63,3358396;Campos Roniel;1299;40,10025063;58,62180308
2025;OVERALL;37;Iran;Asian Cycling Confederation;Safarzadeh Saeid;324;66,66917293;Seyfollahifard Hasan;667;58,58897243;Labib Shotorban Ali;1009;50,12531328;58,46056827
2025;OVERALL;38;Hungary;Union Européenne de Cyclisme;Valter Attila;602;59,89974937;Dina Márton;677;58,39598997;Feldhoffer Bálint;915;53,38345865;57,22582707
2025;OVERALL;39;Romania;Union Européenne de Cyclisme;Raileanu Cristian;271;68,42606516;Grosu Eduard-Michael;892;54,49373434;Piciu Mattew-Denis;1113;47,36842105;56,76217256
2025;OVERALL;40;Japan;Asian Cycling Confederation;Arashiro Yukiya;334;66,35087719;Oka Atsushi;956;52,23809524;Kuroeda Shiki;994;51,62907268;56,73878098
2025;OVERALL;41;Uzbekistan;Asian Cycling Confederation;Tsvetkov Nikita;580;60,24310777;Khalmuratov Muradjan;784;56,33333333;Bocharov Dmitriy;956;52,23809524;56,2709494
2025;OVERALL;42;Argentina;Confederación Panamericana de Ciclismo;Sepúlveda Eduardo;476;62,5764411;Tivani German Nicolás;696;58,15037594;Contte Tomas;1113;47,36842105;56,03118571
2025;OVERALL;43;Monaco;Union Européenne de Cyclisme;Langellotti Victor;112;75,20551378;Berlin Antoine;1113;47,36842105;#N/A;#N/A;40;54,1907697
2025;OVERALL;44;Mongolia;Asian Cycling Confederation;Sainbayar Jambaljamts;735;57,39348371;Batsaikhan Tegsh-Bayar;807;55,63909774;Batmunkh Maral-Erdene;1113;47,36842105;53,46646617
2025;OVERALL;45;Panama;Confederación Panamericana de Ciclismo;González Roberto Carlos;605;59,73684211;Samudio Carlos;989;51,90225564;#N/A;#N/A;40;50,54586045
2025;OVERALL;46;Rwanda;Confédération Africaine de Cyclisme;Masengesho Vainqueur;994;51,62907268;Manizabayo Eric;1033;48,87218045;Byukusenge Patrick;1113;47,36842105;49,2893985
2025;OVERALL;47;Finland;Union Européenne de Cyclisme;Hänninen Jaakko;757;56,89223058;Borremans Kasper;1009;50,12531328;Källberg Axel;1299;40,10025063;49,03877444
2025;OVERALL;48;Turkey;Union Européenne de Cyclisme;Yiğit Tahir;649;58,89724311;Örken Ahmet;1113;47,36842105;#N/A;#N/A;40;48,75473383
2025;OVERALL;49;Belarus;Union Européenne de Cyclisme;Tsishkou Raman;362;65,5037594;Harakhavik Uladzimir;1299;40,10025063;#N/A;#N/A;40;48,53418466
2025;OVERALL;51;Malaysia;Asian Cycling Confederation;Rosli Muhammad Nur Aiman Bin;1019;49,62406015;Abdul Halil Mohamad Izzat Hilmi;1047;47,86967419;Hamdan Wan Abdul Rahman;1113;47,36842105;48,28690226
2025;OVERALL;50;Guatemala;Confederación Panamericana de Ciclismo;Chumil Sergio Geovani;386;64,91478697;#N/A;#N/A;40;#N/A;#N/A;40;48,30444594
2025;OVERALL;52;South Korea;Asian Cycling Confederation;Kim Jinwoong;1033;48,87218045;Lim Jongwon;1047;47,86967419;Joung Seunghwa;1113;47,36842105;48,0362782
2025;OVERALL;53;Serbia;Union Européenne de Cyclisme;Rajović Dušan;472;62,6566416;Đurić Đorđe;1299;40,10025063;#N/A;#N/A;40;47,58515489
2025;OVERALL;54;Brazil;Confederación Panamericana de Ciclismo;Avancini Henrique Da Silva;918;53,07518797;Sessler Nícolas;1113;47,36842105;Braguini Andrey;1299;40,10025063;46,84748474
2025;OVERALL;55;Greece;Union Européenne de Cyclisme;Bouglas Georgios;712;57,89473684;Arvanitou Nikiforos;1299;40,10025063;#N/A;#N/A;40;45,99786917
2025;OVERALL;56;Thailand;Asian Cycling Confederation;Sirironnachai Sarawut;1019;49,62406015;Chaiyasombat Thanakhan;1047;47,86967419;#N/A;#N/A;40;45,83078647
2025;OVERALL;57;Lithuania;Union Européenne de Cyclisme;Mikutis Aivaras;744;57,22807018;Balčiūnas Mantas;1299;40,10025063;#N/A;#N/A;40;45,77564917
2025;OVERALL;58;Indonesia;Asian Cycling Confederation;Rizqi Dimas Nur Fadhil;1047;47,86967419;Maulana Astnan;1113;47,36842105;Abdillah Akhmad Fahreza Syahidin;1299;40,10025063;45,11233083
2025;OVERALL;59;Malta;Union Européenne de Cyclisme;Mifsud Andrea;847;55,13784461;Buttigieg Aidan;1299;40,10025063;#N/A;#N/A;40;45,07891429
2025;OVERALL;60;Chile;Confederación Panamericana de Ciclismo;Rojas Vicente;924;52,73934837;Astudillo Eyair;1299;40,10025063;#N/A;#N/A;40;44,27942353
2025;OVERALL;61;Cyprus;Union Européenne de Cyclisme;Zabelinskiy Bogdan;1113;47,36842105;Agrotis Alexandros;1299;40,10025063;#N/A;#N/A;40;42,48913233
2025;OVERALL;61;China;Asian Cycling Confederation;Gao Yongbing;1113;47,36842105;Bai Jiaqing;1299;40,10025063;#N/A;#N/A;40;42,48913233
2025;OVERALL;61;Ethiopia;Confédération Africaine de Cyclisme;Amaniel Desta;1113;47,36842105;#N/A;#N/A;40;Abreha Negasi Haylu;1299;40,10025063;42,48913233
2025;OVERALL;61;Hong Kong;Asian Cycling Confederation;Chu Tsun Wai;1113;47,36842105;Cheung Shi Ho;1299;40,10025063;#N/A;#N/A;40;42,48913233
2025;OVERALL;61;Croatia;Union Européenne de Cyclisme;Miholjević Fran;1113;47,36842105;Gojković Nicolas;1299;40,10025063;#N/A;#N/A;40;42,48913233
2025;OVERALL;61;Philippines;Asian Cycling Confederation;Cajucom Ean;1113;47,36842105;#N/A;#N/A;40;Azur Jexxel Ehd;1299;40,10025063;42,48913233
2025;OVERALL;67;Iraq;Asian Cycling Confederation;Sulaiman Sulaiman;1113;47,36842105;#N/A;#N/A;40;#N/A;#N/A;40;42,45571579
2025;OVERALL;67;Laos;Asian Cycling Confederation;Phounsavath Ariya;1113;47,36842105;#N/A;#N/A;40;#N/A;#N/A;40;42,45571579
2025;OVERALL;69;Refugee;0;Ansari Amir Arsalan;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;United Arab Emirates;Asian Cycling Confederation;Almutaiwei Mohammad;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Antigua and Barbuda;Confederación Panamericana de Ciclismo;Bridges Jyme;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Albania;Union Européenne de Cyclisme;Kamberaj Valentino;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
2025;OVERALL;69;Armenia;Union Européenne de Cyclisme;Grigoryan Stepan;1299;40,10025063;#N/A;#N/A;40;#N/A;#N/A;40;40,03301654
