Date;Season;Rider;Country;Confederation;Year of Birth;Age Group;Team;Team Tier;Race;Class;Category;Stage;Rank;Result Type;UCI Points;Spec;Level;Season Result Rank
19/10/2025;2025;Paul  Magnier;France;Union Européenne de Cyclisme;2004;U23;Soudal Quick-Step;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;1;STAGE;40;OVERALL;27;12
19/10/2025;2025;Stanis?aw  Anio?kowski;Poland;Union Européenne de Cyclisme;1997;U30;Cofidis;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;2;STAGE;25;OVERALL;22;7
19/10/2025;2025;Patrick  Eddy;Australia;Oceanian Cycling Confederation;2002;U23;Team Picnic PostNL;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;10;STAGE;1;OVERALL;7;6
19/10/2025;2025;Lukas  Nerurkar;Great Britain;Union Européenne de Cyclisme;2003;U23;EF Education - EasyPost;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;9;STAGE;2;OVERALL;8;7
19/10/2025;2025;Riley  Pickrell;Canada;Confederación Panamericana de Ciclismo;2001;U26;Israel - Premier Tech;PRT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;8;STAGE;3;OVERALL;9;4
19/10/2025;2025;Andrea  Pasqualon;Italy;Union Européenne de Cyclisme;1988;O30;Bahrain - Victorious;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;7;STAGE;6;OVERALL;12;2
19/10/2025;2025;Pierre  Gautherat;France;Union Européenne de Cyclisme;2003;U23;Decathlon AG2R La Mondiale Team;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;6;STAGE;8;OVERALL;14;9
19/10/2025;2025;Ivo  Oliveira;Portugal;Union Européenne de Cyclisme;1996;U30;UAE Team Emirates - XRG;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;5;STAGE;10;OVERALL;15;9
19/10/2025;2025;Jordi  Meeus;Belgium;Union Européenne de Cyclisme;1998;U30;Red Bull - BORA - hansgrohe;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;4;STAGE;15;OVERALL;18;16
19/10/2025;2025;Paul  Penhoët;France;Union Européenne de Cyclisme;2001;U23;Groupama - FDJ;WT;Tour of Guangxi;2.UWT;ME - Men Elite;Stage 6;3;STAGE;20;OVERALL;20;9
19/10/2025;2025;Sakarias Koller  Løland;Norway;Union Européenne de Cyclisme;2001;U26;Uno-X Mobility;PRT;Veneto Classic;1.Pro;ME - Men Elite;One day race;1;1.GC;200;OVERALL;59;1
19/10/2025;2025;Yuhi  Todome;Japan;Asian Cycling Confederation;2002;U23;EF Education - EasyPost;WT;Japan Cup;1.Pro;ME - Men Elite;One day race;22;1.GC;5;OVERALL;11;1
19/10/2025;2025;Mathias  Vacek;Czechia;Union Européenne de Cyclisme;2002;U23;Lidl - Trek;WT;Japan Cup;1.Pro;ME - Men Elite;One day race;23;1.GC;5;OVERALL;11;12
19/10/2025;2025;Clément  Izquierdo;France;Union Européenne de Cyclisme;2002;U23;Cofidis;WT;Japan Cup;1.Pro;ME - Men Elite;One day race;24;1.GC;5;OVERALL;11;5
19/10/2025;2025;Kyrylo  Tsarenko;Ukraine;Union Européenne de Cyclisme;2000;U26;Team Solution Tech - Vini Fantini;PRT;Japan Cup;1.Pro;ME - Men Elite;One day race;25;1.GC;5;OVERALL;11;8
19/10/2025;2025;Taishi  Miyazaki;Japan;Asian Cycling Confederation;1999;U26;Kinan Racing Team;CT;Japan Cup;1.Pro;ME - Men Elite;One day race;26;1.GC;5;OVERALL;11;1
19/10/2025;2025;Moritz  Kretschy;Germany;Union Européenne de Cyclisme;2002;U23;Israel - Premier Tech;PRT;Japan Cup;1.Pro;ME - Men Elite;One day race;27;1.GC;5;OVERALL;11;2
19/10/2025;2025;Fabian  Weiss;Switzerland;Union Européenne de Cyclisme;2002;U23;Tudor Pro Cycling Team;PRT;Japan Cup;1.Pro;ME - Men Elite;One day race;28;1.GC;5;OVERALL;11;2
19/10/2025;2025;Jamie  Meehan;Ireland;Union Européenne de Cyclisme;2003;U23;Cofidis;WT;Japan Cup;1.Pro;ME - Men Elite;One day race;29;1.GC;5;OVERALL;11;1
19/10/2025;2025;Hannes  Wilksch;Germany;Union Européenne de Cyclisme;2001;U23;Tudor Pro Cycling Team;PRT;Japan Cup;1.Pro;ME - Men Elite;One day race;30;1.GC;5;OVERALL;11;4
19/10/2025;2025;Rainer  Kepplinger;Austria;Union Européenne de Cyclisme;1997;U30;Bahrain - Victorious;WT;Japan Cup;1.Pro;ME - Men Elite;One day race;31;1.GC;3;OVERALL;9;6
