Season;Spec;Rank;Team;Team Tier;Country;Confederation;Rider1;Rank1;Score1;Rider2;Rank2;Score2;Rider3;Rank3;Score3;Score
2025;OVERALL;1;UAE Team Emirates - XRG;WT;United Arab Emirates;Asian Cycling Confederation;Tadej Pogačar;1;99,25062657;João Almeida;4;95,98997494;Isaac del Toro;9;92,98997494;96,07589805
2025;OVERALL;2;Lidl - Trek;WT;United States;Confederación Panamericana de Ciclismo;Mads Pedersen;6;94,9047619;Giulio Ciccone;10;92,56641604;Mattias Skjelmose;11;91,9924812;93,1536215
2025;OVERALL;3;Team Visma | Lease a Bike;WT;Netherlands;Union Européenne de Cyclisme;Jonas Vingegaard;2;97,9273183;Wout van Aert;15;90,65413534;Simon Yates;23;88,48621554;92,35496617
2025;OVERALL;4;Red Bull - BORA - hansgrohe;WT;Germany;Union Européenne de Cyclisme;Florian Lipowitz;7;93,48621554;Giulio Pellizzari;21;88,65914787;Primož Roglič;27;86,9924812;89,71171774
2025;OVERALL;5;EF Education - EasyPost;WT;United States;Confederación Panamericana de Ciclismo;Ben Healy;8;93,24561404;Richard Carapaz;28;86,72431078;Neilson Powless;37;84,97493734;88,3140709
2025;OVERALL;6;Soudal Quick-Step;WT;Belgium;Union Européenne de Cyclisme;Remco Evenepoel;5;95,41102757;Tim Merlier;38;84,96240602;Paul Magnier;46;83,54636591;87,97238677
2025;OVERALL;7;Alpecin - Deceuninck;WT;Belgium;Union Européenne de Cyclisme;Mathieu van der Poel;3;96,74686717;Kaden Groves;41;84,38095238;Jasper Philipsen;63;80,86967419;87,33162459
2025;OVERALL;8;INEOS Grenadiers;WT;Great Britain;Union Européenne de Cyclisme;Filippo Ganna;14;91,82205514;Thymen Arensman;42;84,21052632;Egan Bernal;44;83,96240602;86,66412917
2025;OVERALL;9;Uno-X Mobility;PRT;Norway;Union Européenne de Cyclisme;Tobias Halland Johannessen;29;86,64661654;Magnus Cort;49;83,30576441;Søren Wærenskjold;53;82,21804511;84,05596812
2025;OVERALL;10;Tudor Pro Cycling Team;PRT;Switzerland;Union Européenne de Cyclisme;Michael Storer;26;87,63909774;Julian Alaphilippe;32;86,39598997;Matteo Trentin;91;77,03759398;83,69005699
2025;OVERALL;11;Bahrain - Victorious;WT;Bahrain;Asian Cycling Confederation;Lenny Martinez;36;85,21553885;Antonio Tiberi;39;84,7443609;Damiano Caruso;62;81,03759398;83,66499459
